"Table 6.1 :  Gross domestic product, chain volume measures [reference year = 2002] (Seasonally Adjusted) q-o-q Growth Rate",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(1) Agriculture,"(1.1) Agriculture, forestry and fishing",(2) Non-agriculture,(2.1) Industrial,(2.1.1) Mining and quarrying,(2.1.2) Manufacturing,"(2.1.3) Electricity, gas, steam and air conditioning supply","(2.1.4) Water supply; sewerage, waste management and remediation activities",(2.2) Services,(2.2.1) Construction,(2.2.2) Wholesale and retail trade; repair of motor vehicles and motorcycles,(2.2.3) Transportation and storage,(2.2.4) Accommodation and food service activities,(2.2.5) Information and communication,(2.2.6) Financial and insurance activities,(2.2.7) Real estate activities,"(2.2.8) Professional, scientific and technical activities",(2.2.9) Administrative and support service activities,(2.2.10) Public administration and defence; compulsory social security,(2.2.11) Education,(2.2.11)Health and Social  Work (21),"(2.2.11)Arts, entertainment and recreation (22)",(2.2.11)Other Service Activities (23),(2.2.11)Private Household with Employed Persons (24),(3) Gross Domestic Product (CVM) (25)
2008,Q4,1.0,1.0,-3.1,-4.5,-4.2,-5.1,1.2,1.5,-1.9,-1.5,-3.4,-5.2,-6.6,-0.3,2.1,-1.8,-7.6,-6.1,5.5,5.1,-0.7,0.8,-2.4,1.4,-2.6
2009,Q1,0.0,0.0,-3.2,-5.9,0.7,-6.8,-4.6,-0.4,-0.9,2.4,-2.0,-1.4,-0.3,-1.1,3.8,-1.6,-9.4,-4.5,-2.9,-4.9,8.1,-6.5,-3.4,5.4,-3.0
2009,Q2,-3.0,-3.0,3.0,4.7,0.6,5.1,5.9,-1.2,1.6,3.8,0.4,1.8,2.2,-0.6,5.3,-0.8,3.6,-0.2,1.9,1.5,0.7,1.2,-3.5,2.0,2.3
2009,Q3,3.1,3.1,3.2,4.1,0.6,4.5,3.8,1.9,2.3,1.1,1.7,5.7,1.5,0.2,0.6,0.1,-1.4,2.3,1.5,3.8,3.6,1.7,4.5,1.6,3.2
2009,Q4,-2.2,-2.2,3.4,4.9,5.4,5.5,-0.9,2.0,2.8,2.7,6.1,4.1,8.8,1.2,0.7,1.3,15.7,1.9,1.5,2.4,2.1,4.3,-0.3,-0.1,2.9
2010,Q1,-0.2,-0.2,3.0,4.9,-0.1,5.4,5.3,2.2,1.3,3.3,-0.3,0.0,0.3,3.4,3.1,3.2,-2.5,1.0,-0.2,0.5,1.0,8.0,-1.5,-3.3,2.9
2010,Q2,3.8,3.8,-0.7,-1.6,1.4,-1.9,-1.1,3.2,0.2,3.7,3.8,-1.9,-7.9,0.3,-1.3,-3.0,-2.0,-0.2,-0.2,-0.7,-0.4,5.0,2.5,-0.7,-0.3
2010,Q3,-4.2,-4.2,0.9,-0.6,3.4,-0.9,-3.1,-0.6,2.0,-4.3,1.5,3.2,11.0,1.5,-2.0,4.3,6.4,1.2,2.4,1.6,0.5,4.6,0.2,0.4,0.5
2010,Q4,-0.1,-0.1,1.1,-0.4,-0.6,-0.6,4.5,-0.9,2.4,3.8,0.9,4.6,7.0,2.6,2.9,2.0,3.7,8.8,3.2,2.5,3.2,6.2,4.1,2.7,0.4
2011,Q1,3.2,3.2,1.5,1.2,-1.0,1.7,-2.3,-0.9,0.8,-4.2,-1.3,0.7,3.4,2.4,1.8,0.2,4.4,-0.5,1.6,0.6,1.3,1.0,3.1,1.5,2.3
2011,Q2,7.2,7.2,-1.9,-3.0,-1.6,-3.3,-1.5,-0.7,-0.7,-3.1,-2.6,-0.7,2.1,2.5,0.9,1.3,-2.0,3.7,-1.3,-1.2,-0.2,2.8,1.8,1.2,-1.4
2011,Q3,-5.8,-5.8,2.4,3.3,-1.6,3.4,8.1,3.5,2.0,0.9,2.0,-1.7,2.4,3.6,4.5,-0.2,2.3,-1.5,1.5,1.4,3.1,3.6,1.4,0.9,1.5
2011,Q4,5.8,5.8,-8.4,-15.4,-0.4,-17.9,-2.0,-5.8,-3.7,1.2,-0.8,-8.3,-8.8,-2.6,1.3,-1.7,-10.9,-9.1,-4.2,-0.5,-2.1,-0.9,-7.1,3.9,-6.3
2012,Q1,0.0,0.0,11.0,16.1,5.0,18.3,5.8,10.4,7.3,1.9,2.3,13.5,13.5,4.9,4.3,1.5,25.6,18.5,8.3,4.8,5.4,7.1,22.7,1.7,9.4
2012,Q2,-2.4,-2.4,3.0,3.8,2.5,4.3,1.1,0.5,2.7,2.7,3.2,3.3,5.0,3.2,6.1,2.4,2.6,5.8,-0.7,-0.6,1.0,7.4,-7.5,0.1,1.9
2012,Q3,2.1,2.1,0.7,0.6,4.5,0.0,0.6,1.1,1.1,4.7,1.6,0.5,1.1,2.3,3.0,1.3,-1.9,2.6,-2.0,-1.7,-1.8,6.4,-1.8,-3.8,0.8
