Table 9 :  Composition of private final consumption expenditure at current market prices (seasonally adjusted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit : Million Baht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(1) Individual consumption expenditure of households , (1.1)Food and Non-alcoholic,(1.1.1) Food ,(1.1.1.1) Bread and Cereals,(1.1.1.2)Meat (5),(1.1.1.3)Fish (6),"(1.1.1.4)Milk, Cheese and Eggs",(1.1.1.5)Oil and Fat,(1.1.1.6)Fruit ,(1.1.1.7)Vegetables ,"(1.1.1.8) Sugar, Jam, Honey, Chocolate and Confectionery ",(1.1.1.9) Food Products n.e.c. ,(1.1.2) Non-alcoholic Beverages,"(1.2)Alcoholic Beverages, Tobacco and Narcotic ",(1.2.1) Alcoholic Beverages ,(1.2.2)Tobacco ,(1.3)Clothing and Footwear ,(1.3.1)Clothing,(1.3.2) Footwear ,"(1.4)Housing, Water, Electricity, Gas and Other Fuels ",(1.4.1)Housing and Water ,"(1.4.2)Electricity, Gas and Other Fuels ","(1.5) Furnishings, Households Equipment and Routine Maintenance of the House ","(1.5.1)Furniture and Furnishings, Carpets and Other Floor Covering ",(1.5.2) Households Equipment and Routine Maintenance of the House ,(1.6) Health ,(1.7) Transport ,(1.7.1) Purchase of Vehicles ,(1.7.2) Operation of Personal Transport Equipment,(1.7.3) Transport Services ,(1.8) Communication ,(1.9) Recreation and Culture ,"(1.9.1) Audio-visual, Photographic and Information Processing Equipment",(1.9.2)Other Recreation and Entertainment,"(1.9.3) Newspaper, Books and Stationery",(1.10) Education,(1.11) Restaurants and Hotels ,(1.12) Miscellaneous Goods and Services ,(1.12.1) Personal Care ,(1.12.2)Personal Effects n.e.c. ,(1.12.3)Financial Services ,(1.12.4)Other Services n.e.c. ,(2)Individual consumption expenditure by non-profit institution serving households (NPISHs),(3)Private final consumption expenditure in The Domestic Market ,(4)Plus : Expenditure of Resident Abroad ,(5)Less : Expenditure of Non-resident in The Country ,(6)Private final consumption expenditure ,,,,,,
2002,Q2," 827,170 "," 177,046 "," 150,442 "," 36,857 "," 21,704 "," 18,927 "," 17,741 "," 4,985 "," 13,464 "," 20,504 "," 6,475 "," 10,228 "," 25,812 "," 42,356 "," 28,416 "," 13,983 "," 59,193 "," 55,030 "," 4,168 "," 94,167 "," 73,380 "," 20,748 "," 38,501 "," 6,750 "," 31,841 "," 39,063 "," 113,207 "," 31,663 "," 39,792 "," 41,832 "," 21,018 "," 45,821 "," 16,761 "," 21,159 "," 7,840 "," 14,390 "," 106,180 "," 78,336 "," 16,418 "," 12,608 "," 33,274 "," 16,509 "," 14,701 "," 841,618 "," 29,984 "," 76,857 "," 795,320 ",,,,,,
2002,Q3," 845,576 "," 181,279 "," 154,185 "," 37,037 "," 21,420 "," 20,093 "," 17,798 "," 5,331 "," 13,374 "," 22,061 "," 6,332 "," 10,431 "," 27,233 "," 44,998 "," 30,834 "," 14,127 "," 60,102 "," 55,963 "," 4,144 "," 95,536 "," 74,468 "," 21,125 "," 39,054 "," 6,608 "," 32,483 "," 39,687 "," 116,427 "," 35,979 "," 39,120 "," 41,733 "," 22,042 "," 45,853 "," 16,478 "," 21,704 "," 7,699 "," 14,489 "," 106,810 "," 79,340 "," 16,394 "," 12,910 "," 32,840 "," 17,133 "," 13,909 "," 859,666 "," 28,875 "," 78,722 "," 809,294 ",,,,,,
2002,Q4," 865,882 "," 189,742 "," 162,050 "," 37,791 "," 21,897 "," 21,468 "," 18,060 "," 5,718 "," 15,762 "," 24,493 "," 6,497 "," 10,743 "," 27,808 "," 43,486 "," 29,178 "," 14,411 "," 60,429 "," 56,180 "," 4,233 "," 97,768 "," 75,817 "," 21,970 "," 38,958 "," 6,620 "," 32,317 "," 40,412 "," 122,100 "," 37,355 "," 42,591 "," 41,970 "," 26,622 "," 43,260 "," 15,238 "," 20,725 "," 7,526 "," 13,520 "," 109,282 "," 79,656 "," 16,550 "," 12,722 "," 32,455 "," 17,529 "," 14,251 "," 879,933 "," 27,506 "," 78,953 "," 830,191 ",,,,,,
2003,Q1," 896,008 "," 193,966 "," 166,708 "," 38,549 "," 21,265 "," 21,923 "," 18,424 "," 6,268 "," 15,489 "," 26,713 "," 6,661 "," 10,754 "," 27,638 "," 45,653 "," 31,390 "," 14,170 "," 61,014 "," 56,718 "," 4,297 "," 98,935 "," 76,843 "," 22,011 "," 40,433 "," 6,559 "," 33,806 "," 40,645 "," 132,382 "," 44,686 "," 44,634 "," 42,758 "," 24,847 "," 47,347 "," 16,444 "," 22,618 "," 8,129 "," 14,633 "," 111,603 "," 83,592 "," 17,085 "," 13,050 "," 35,371 "," 18,105 "," 14,557 "," 910,753 "," 24,482 "," 75,640 "," 859,641 ",,,,,,
2003,Q2," 882,450 "," 199,847 "," 171,062 "," 40,401 "," 21,212 "," 22,719 "," 18,726 "," 6,956 "," 15,986 "," 28,638 "," 6,775 "," 10,767 "," 28,217 "," 45,177 "," 31,149 "," 14,061 "," 60,828 "," 56,451 "," 4,384 "," 99,720 "," 77,422 "," 22,376 "," 41,293 "," 6,750 "," 34,581 "," 41,620 "," 126,524 "," 43,353 "," 41,659 "," 41,733 "," 23,938 "," 47,127 "," 16,825 "," 21,657 "," 8,510 "," 14,990 "," 95,779 "," 85,686 "," 17,039 "," 13,393 "," 37,327 "," 18,336 "," 14,603 "," 897,006 "," 22,292 "," 56,441 "," 858,307 ",,,,,,
2003,Q3," 918,743 "," 208,000 "," 178,321 "," 42,349 "," 21,420 "," 23,719 "," 19,139 "," 7,437 "," 15,836 "," 30,303 "," 6,918 "," 10,733 "," 29,778 "," 44,641 "," 30,552 "," 14,352 "," 61,959 "," 57,433 "," 4,524 "," 100,376 "," 77,791 "," 22,588 "," 41,678 "," 7,080 "," 34,598 "," 42,463 "," 131,832 "," 46,408 "," 42,775 "," 43,022 "," 25,036 "," 49,750 "," 16,586 "," 24,270 "," 8,879 "," 14,684 "," 109,226 "," 89,343 "," 17,613 "," 14,438 "," 38,574 "," 18,735 "," 14,553 "," 933,437 "," 27,817 "," 73,151 "," 886,866 ",,,,,,
2003,Q4," 953,211 "," 211,785 "," 182,233 "," 44,244 "," 21,756 "," 24,888 "," 19,610 "," 7,526 "," 15,075 "," 30,889 "," 6,864 "," 10,705 "," 29,829 "," 47,848 "," 32,909 "," 14,646 "," 62,906 "," 58,276 "," 4,634 "," 101,741 "," 78,379 "," 23,337 "," 43,219 "," 7,442 "," 35,757 "," 44,207 "," 137,438 "," 49,027 "," 44,362 "," 43,817 "," 24,472 "," 54,573 "," 16,903 "," 28,317 "," 9,473 "," 15,261 "," 115,404 "," 94,270 "," 17,306 "," 15,514 "," 41,558 "," 19,248 "," 15,486 "," 968,255 "," 24,141 "," 85,128 "," 910,390 ",,,,,,
2004,Q1," 982,377 "," 215,901 "," 185,494 "," 45,021 "," 17,663 "," 25,546 "," 21,233 "," 7,295 "," 17,228 "," 32,332 "," 6,812 "," 11,037 "," 30,404 "," 46,976 "," 31,983 "," 14,987 "," 63,015 "," 58,349 "," 4,663 "," 103,389 "," 79,499 "," 23,857 "," 43,732 "," 7,605 "," 36,108 "," 47,945 "," 147,726 "," 55,918 "," 46,929 "," 44,342 "," 26,627 "," 56,383 "," 17,214 "," 29,011 "," 10,036 "," 15,544 "," 115,552 "," 98,986 "," 18,046 "," 16,312 "," 43,406 "," 21,372 "," 14,799 "," 997,508 "," 37,422 "," 86,894 "," 944,838 ",,,,,,
2004,Q2," 1,007,102 "," 225,815 "," 193,449 "," 45,403 "," 22,359 "," 25,729 "," 22,404 "," 7,874 "," 18,286 "," 34,837 "," 7,218 "," 11,423 "," 32,060 "," 46,292 "," 30,872 "," 15,356 "," 62,894 "," 58,160 "," 4,728 "," 104,777 "," 80,144 "," 24,692 "," 45,256 "," 7,966 "," 37,353 "," 49,042 "," 146,636 "," 54,301 "," 46,923 "," 45,850 "," 28,067 "," 56,392 "," 17,492 "," 28,398 "," 10,505 "," 16,681 "," 120,886 "," 103,778 "," 18,082 "," 17,709 "," 46,630 "," 21,826 "," 14,808 "," 1,021,900 "," 36,855 "," 92,129 "," 966,906 ",,,,,,
2004,Q3," 1,017,379 "," 228,115 "," 194,356 "," 45,462 "," 20,418 "," 24,360 "," 23,339 "," 8,075 "," 18,735 "," 34,568 "," 7,425 "," 11,071 "," 33,817 "," 45,617 "," 31,083 "," 14,805 "," 63,885 "," 58,974 "," 4,894 "," 105,858 "," 80,765 "," 25,052 "," 46,939 "," 8,097 "," 38,814 "," 49,950 "," 150,452 "," 54,951 "," 50,648 "," 45,300 "," 27,138 "," 58,956 "," 18,901 "," 29,675 "," 10,348 "," 15,629 "," 122,584 "," 102,817 "," 18,699 "," 17,096 "," 45,063 "," 21,793 "," 15,385 "," 1,032,923 "," 38,487 "," 93,143 "," 977,666 ",,,,,,
2004,Q4," 1,037,008 "," 233,281 "," 197,295 "," 46,333 "," 21,014 "," 25,778 "," 23,584 "," 7,502 "," 17,081 "," 37,130 "," 7,432 "," 11,013 "," 36,389 "," 46,712 "," 31,800 "," 14,773 "," 64,505 "," 59,630 "," 4,897 "," 107,214 "," 81,471 "," 25,712 "," 48,076 "," 7,991 "," 40,101 "," 50,730 "," 156,423 "," 54,616 "," 54,118 "," 47,044 "," 27,803 "," 62,945 "," 19,775 "," 32,156 "," 10,975 "," 17,852 "," 121,040 "," 101,582 "," 19,345 "," 18,014 "," 42,532 "," 21,539 "," 17,465 "," 1,053,829 "," 35,208 "," 96,693 "," 996,057 ",,,,,,
2005,Q1," 1,040,835 "," 238,105 "," 202,485 "," 45,929 "," 23,550 "," 25,694 "," 23,421 "," 7,731 "," 15,350 "," 42,194 "," 7,492 "," 11,031 "," 35,340 "," 49,724 "," 33,673 "," 16,000 "," 66,672 "," 61,687 "," 4,984 "," 109,057 "," 83,196 "," 25,851 "," 47,331 "," 6,401 "," 40,933 "," 51,158 "," 153,587 "," 52,467 "," 53,404 "," 47,576 "," 29,190 "," 60,038 "," 19,014 "," 30,405 "," 10,721 "," 17,553 "," 114,168 "," 102,706 "," 19,275 "," 17,711 "," 43,916 "," 21,800 "," 16,255 "," 1,057,654 "," 28,933 "," 71,712 "," 1,015,325 ",,,,,,
2005,Q2," 1,077,803 "," 243,848 "," 204,676 "," 45,953 "," 25,685 "," 26,854 "," 23,779 "," 6,921 "," 16,517 "," 43,219 "," 7,586 "," 10,603 "," 38,845 "," 51,120 "," 35,218 "," 15,871 "," 68,352 "," 63,331 "," 5,022 "," 110,684 "," 83,881 "," 26,877 "," 49,400 "," 6,083 "," 43,247 "," 51,028 "," 162,812 "," 53,024 "," 59,484 "," 50,665 "," 30,225 "," 63,067 "," 18,593 "," 33,931 "," 10,665 "," 17,459 "," 125,824 "," 103,325 "," 19,808 "," 16,997 "," 44,164 "," 22,350 "," 16,439 "," 1,094,164 "," 32,440 "," 79,754 "," 1,044,358 ",,,,,,
2005,Q3," 1,128,609 "," 268,769 "," 229,005 "," 46,370 "," 26,499 "," 31,119 "," 23,844 "," 6,803 "," 24,391 "," 49,814 "," 7,859 "," 11,366 "," 39,923 "," 48,963 "," 35,057 "," 14,265 "," 69,113 "," 63,962 "," 5,131 "," 111,276 "," 84,482 "," 26,721 "," 49,736 "," 5,860 "," 43,869 "," 52,168 "," 174,142 "," 53,369 "," 65,049 "," 56,131 "," 28,767 "," 66,037 "," 20,330 "," 35,265 "," 10,575 "," 17,437 "," 131,262 "," 112,153 "," 20,333 "," 17,059 "," 51,324 "," 23,631 "," 17,057 "," 1,145,712 "," 33,222 "," 94,509 "," 1,083,547 ",,,,,,
2005,Q4," 1,154,538 "," 265,021 "," 225,006 "," 48,090 "," 25,916 "," 28,473 "," 23,543 "," 7,551 "," 18,250 "," 52,726 "," 7,879 "," 11,209 "," 40,103 "," 54,957 "," 38,216 "," 16,533 "," 70,883 "," 65,735 "," 5,163 "," 111,703 "," 84,125 "," 27,529 "," 51,417 "," 5,908 "," 45,569 "," 53,133 "," 182,730 "," 57,637 "," 67,470 "," 56,500 "," 29,688 "," 67,675 "," 21,593 "," 35,382 "," 10,559 "," 18,378 "," 131,650 "," 117,050 "," 22,026 "," 18,997 "," 50,463 "," 25,769 "," 18,508 "," 1,172,589 "," 32,806 "," 98,936 "," 1,108,676 ",,,,,,
2006,Q1," 1,178,205 "," 270,982 "," 229,965 "," 47,776 "," 26,764 "," 31,371 "," 23,171 "," 6,980 "," 21,585 "," 52,246 "," 7,937 "," 11,193 "," 40,997 "," 53,727 "," 38,785 "," 15,065 "," 72,131 "," 66,844 "," 5,280 "," 113,960 "," 85,069 "," 29,073 "," 53,115 "," 6,293 "," 46,840 "," 54,517 "," 188,964 "," 56,842 "," 72,890 "," 59,842 "," 29,940 "," 69,933 "," 21,258 "," 37,978 "," 10,618 "," 19,403 "," 136,325 "," 113,840 "," 22,454 "," 18,955 "," 46,607 "," 25,183 "," 19,248 "," 1,197,968 "," 32,762 "," 103,099 "," 1,126,836 ",,,,,,
2006,Q2," 1,193,285 "," 275,038 "," 232,463 "," 48,773 "," 26,732 "," 30,989 "," 22,686 "," 6,995 "," 21,415 "," 57,246 "," 8,178 "," 11,647 "," 42,376 "," 55,558 "," 40,634 "," 14,860 "," 73,629 "," 68,211 "," 5,406 "," 116,205 "," 86,433 "," 29,705 "," 52,743 "," 6,123 "," 46,547 "," 55,983 "," 191,877 "," 55,273 "," 74,994 "," 61,754 "," 29,124 "," 68,321 "," 20,723 "," 36,858 "," 10,621 "," 18,948 "," 140,480 "," 115,192 "," 22,509 "," 18,716 "," 48,887 "," 25,049 "," 19,220 "," 1,212,391 "," 36,142 "," 110,203 "," 1,139,653 ",,,,,,
2006,Q3," 1,201,603 "," 277,684 "," 234,682 "," 51,518 "," 25,965 "," 30,911 "," 22,550 "," 7,306 "," 20,145 "," 54,772 "," 8,336 "," 11,457 "," 43,271 "," 55,230 "," 39,744 "," 15,517 "," 74,194 "," 68,866 "," 5,330 "," 118,960 "," 87,552 "," 31,237 "," 53,160 "," 5,991 "," 47,171 "," 56,742 "," 192,035 "," 53,760 "," 75,394 "," 63,300 "," 30,597 "," 67,506 "," 19,395 "," 37,525 "," 10,752 "," 20,090 "," 141,405 "," 116,065 "," 22,191 "," 18,530 "," 50,504 "," 24,932 "," 19,350 "," 1,220,940 "," 35,781 "," 108,197 "," 1,147,178 ",,,,,,
2006,Q4," 1,221,470 "," 288,565 "," 244,934 "," 54,582 "," 26,868 "," 28,221 "," 21,938 "," 7,916 "," 23,798 "," 61,227 "," 8,507 "," 11,914 "," 43,309 "," 55,244 "," 39,852 "," 15,381 "," 74,320 "," 69,094 "," 5,222 "," 120,687 "," 88,325 "," 32,491 "," 53,036 "," 5,883 "," 47,191 "," 57,340 "," 190,823 "," 51,504 "," 73,066 "," 64,754 "," 30,773 "," 65,668 "," 19,446 "," 35,839 "," 10,455 "," 19,100 "," 145,284 "," 119,915 "," 22,948 "," 18,127 "," 54,442 "," 24,561 "," 18,157 "," 1,239,515 "," 36,751 "," 116,437 "," 1,160,324 ",,,,,,
2007,Q1," 1,233,977 "," 291,949 "," 248,819 "," 56,031 "," 25,054 "," 28,617 "," 22,873 "," 7,853 "," 23,838 "," 62,926 "," 8,789 "," 12,317 "," 43,385 "," 55,989 "," 40,858 "," 15,062 "," 76,268 "," 71,124 "," 5,141 "," 120,564 "," 89,757 "," 30,953 "," 54,914 "," 6,522 "," 48,360 "," 54,101 "," 189,315 "," 50,553 "," 73,728 "," 65,857 "," 33,470 "," 65,736 "," 20,739 "," 34,475 "," 10,643 "," 19,345 "," 150,473 "," 121,070 "," 23,031 "," 19,600 "," 52,987 "," 25,285 "," 18,256 "," 1,252,370 "," 36,244 "," 120,796 "," 1,167,025 ",,,,,,
2007,Q2," 1,245,016 "," 293,158 "," 251,477 "," 56,544 "," 26,660 "," 29,397 "," 22,506 "," 7,721 "," 22,848 "," 65,328 "," 9,110 "," 12,388 "," 41,724 "," 55,302 "," 40,615 "," 14,826 "," 77,106 "," 71,981 "," 5,139 "," 124,170 "," 92,413 "," 31,701 "," 55,723 "," 6,073 "," 49,598 "," 55,394 "," 190,645 "," 49,033 "," 76,075 "," 65,640 "," 34,707 "," 67,831 "," 21,522 "," 35,404 "," 10,497 "," 20,612 "," 148,514 "," 122,558 "," 23,465 "," 21,394 "," 52,122 "," 25,333 "," 20,500 "," 1,265,388 "," 33,642 "," 121,605 "," 1,179,413 ",,,,,,
2007,Q3," 1,260,449 "," 301,789 "," 261,593 "," 59,984 "," 30,229 "," 30,026 "," 22,735 "," 8,408 "," 23,752 "," 64,142 "," 9,052 "," 12,025 "," 40,255 "," 58,459 "," 43,004 "," 15,431 "," 76,663 "," 71,620 "," 5,097 "," 123,740 "," 91,706 "," 31,901 "," 56,827 "," 6,171 "," 50,670 "," 55,601 "," 192,728 "," 50,073 "," 77,929 "," 64,981 "," 35,142 "," 64,433 "," 19,366 "," 34,138 "," 10,879 "," 20,658 "," 149,681 "," 126,766 "," 23,125 "," 21,737 "," 56,421 "," 25,485 "," 19,994 "," 1,280,469 "," 36,985 "," 124,461 "," 1,191,122 ",,,,,,
2007,Q4," 1,303,578 "," 314,672 "," 273,639 "," 68,039 "," 33,138 "," 32,682 "," 21,992 "," 8,918 "," 22,903 "," 65,208 "," 9,423 "," 11,448 "," 40,571 "," 59,142 "," 43,028 "," 16,134 "," 75,154 "," 70,040 "," 5,075 "," 125,122 "," 93,206 "," 31,925 "," 58,640 "," 6,598 "," 52,069 "," 56,539 "," 202,657 "," 44,729 "," 87,455 "," 69,054 "," 35,376 "," 66,837 "," 20,451 "," 35,524 "," 11,132 "," 20,930 "," 159,456 "," 127,544 "," 24,351 "," 22,095 "," 56,112 "," 25,116 "," 20,153 "," 1,323,851 "," 38,439 "," 129,549 "," 1,232,508 ",,,,,,
2008,Q1," 1,364,133 "," 336,017 "," 291,657 "," 61,424 "," 34,310 "," 34,712 "," 23,611 "," 11,563 "," 26,274 "," 78,182 "," 8,962 "," 12,913 "," 44,657 "," 61,124 "," 44,494 "," 16,552 "," 81,281 "," 75,916 "," 5,358 "," 125,691 "," 93,653 "," 32,196 "," 59,642 "," 6,710 "," 52,895 "," 56,913 "," 216,879 "," 58,286 "," 90,793 "," 69,586 "," 34,577 "," 70,518 "," 21,188 "," 37,644 "," 11,876 "," 20,981 "," 167,091 "," 132,966 "," 25,523 "," 22,955 "," 59,889 "," 24,749 "," 21,616 "," 1,385,613 "," 32,648 "," 138,548 "," 1,281,870 ",,,,,,
2008,Q2," 1,394,984 "," 353,155 "," 308,818 "," 77,471 "," 37,731 "," 35,434 "," 23,549 "," 12,834 "," 26,374 "," 73,935 "," 9,226 "," 12,316 "," 44,755 "," 61,662 "," 45,195 "," 16,646 "," 82,404 "," 76,979 "," 5,432 "," 124,915 "," 93,658 "," 31,275 "," 60,188 "," 6,575 "," 53,602 "," 57,401 "," 219,513 "," 57,212 "," 90,875 "," 71,218 "," 35,868 "," 72,058 "," 22,623 "," 37,248 "," 11,661 "," 21,161 "," 170,480 "," 136,124 "," 25,251 "," 22,538 "," 63,326 "," 25,016 "," 22,643 "," 1,417,600 "," 31,977 "," 138,421 "," 1,311,560 ",,,,,,
2008,Q3," 1,386,609 "," 355,457 "," 311,223 "," 74,446 "," 38,630 "," 36,848 "," 23,349 "," 12,687 "," 24,615 "," 76,843 "," 9,939 "," 12,510 "," 44,136 "," 61,839 "," 44,851 "," 16,886 "," 82,653 "," 77,401 "," 5,381 "," 125,501 "," 93,970 "," 31,479 "," 62,114 "," 6,401 "," 55,711 "," 57,646 "," 214,202 "," 55,175 "," 86,397 "," 72,668 "," 35,768 "," 70,172 "," 21,818 "," 36,995 "," 11,210 "," 20,728 "," 168,230 "," 134,875 "," 25,675 "," 24,422 "," 59,898 "," 24,384 "," 22,888 "," 1,409,562 "," 32,617 "," 121,201 "," 1,317,421 ",,,,,,
2008,Q4," 1,341,067 "," 359,808 "," 315,469 "," 68,838 "," 40,984 "," 38,375 "," 25,311 "," 10,893 "," 24,670 "," 82,890 "," 10,249 "," 12,446 "," 44,014 "," 59,200 "," 42,661 "," 16,531 "," 75,251 "," 69,976 "," 5,221 "," 125,846 "," 93,997 "," 31,804 "," 60,170 "," 6,409 "," 53,779 "," 57,779 "," 189,378 "," 51,187 "," 67,473 "," 69,033 "," 35,758 "," 65,530 "," 19,033 "," 35,738 "," 11,026 "," 21,211 "," 155,205 "," 136,080 "," 24,542 "," 24,368 "," 63,127 "," 24,035 "," 22,729 "," 1,363,906 "," 35,268 "," 103,890 "," 1,296,351 ",,,,,,
2009,Q1," 1,309,048 "," 354,862 "," 311,324 "," 68,312 "," 43,201 "," 40,562 "," 25,750 "," 12,169 "," 24,243 "," 76,316 "," 10,039 "," 12,693 "," 43,404 "," 57,745 "," 41,418 "," 16,275 "," 72,719 "," 67,441 "," 5,233 "," 126,764 "," 94,070 "," 32,740 "," 56,429 "," 6,535 "," 49,768 "," 55,456 "," 179,678 "," 45,011 "," 66,470 "," 69,107 "," 32,169 "," 61,453 "," 17,284 "," 33,322 "," 11,032 "," 21,747 "," 151,246 "," 137,488 "," 24,948 "," 24,653 "," 64,657 "," 23,801 "," 24,745 "," 1,333,794 "," 31,911 "," 111,111 "," 1,263,161 ",,,,,,
2009,Q2," 1,322,817 "," 344,959 "," 298,852 "," 65,630 "," 36,606 "," 38,007 "," 28,963 "," 12,695 "," 22,767 "," 70,995 "," 9,864 "," 12,874 "," 46,265 "," 57,451 "," 40,877 "," 16,740 "," 73,974 "," 68,469 "," 5,487 "," 126,184 "," 93,494 "," 32,706 "," 56,587 "," 6,135 "," 50,510 "," 55,755 "," 191,796 "," 47,201 "," 74,936 "," 69,615 "," 31,588 "," 62,165 "," 16,371 "," 34,535 "," 11,283 "," 21,431 "," 162,000 "," 138,430 "," 26,552 "," 24,148 "," 63,993 "," 23,549 "," 23,036 "," 1,345,881 "," 30,244 "," 112,602 "," 1,257,886 ",,,,,,
2009,Q3," 1,358,456 "," 355,172 "," 308,061 "," 63,848 "," 40,181 "," 39,393 "," 29,695 "," 12,884 "," 27,230 "," 71,495 "," 9,969 "," 12,887 "," 47,516 "," 57,465 "," 39,281 "," 17,854 "," 76,208 "," 70,629 "," 5,671 "," 128,302 "," 94,301 "," 34,087 "," 57,208 "," 5,899 "," 51,267 "," 56,515 "," 206,906 "," 52,672 "," 84,584 "," 69,318 "," 31,127 "," 64,295 "," 17,004 "," 35,577 "," 11,341 "," 21,977 "," 165,636 "," 138,938 "," 27,575 "," 23,927 "," 65,588 "," 21,909 "," 23,890 "," 1,382,392 "," 31,763 "," 128,659 "," 1,281,550 ",,,,,,
2009,Q4," 1,416,259 "," 363,554 "," 312,327 "," 67,576 "," 37,196 "," 38,820 "," 29,302 "," 13,217 "," 29,064 "," 75,986 "," 10,329 "," 12,493 "," 49,976 "," 59,789 "," 42,172 "," 17,551 "," 78,631 "," 72,641 "," 5,992 "," 130,110 "," 95,490 "," 34,437 "," 60,242 "," 5,769 "," 54,479 "," 58,032 "," 227,130 "," 61,856 "," 88,866 "," 75,212 "," 30,922 "," 66,248 "," 17,440 "," 37,293 "," 11,712 "," 22,848 "," 177,485 "," 140,029 "," 25,920 "," 26,477 "," 67,081 "," 20,396 "," 25,449 "," 1,441,704 "," 31,076 "," 149,177 "," 1,323,982 ",,,,,,
2010,Q1," 1,453,240 "," 391,872 "," 343,420 "," 73,867 "," 49,145 "," 39,908 "," 29,757 "," 13,755 "," 29,493 "," 84,571 "," 10,887 "," 13,097 "," 48,452 "," 59,124 "," 41,588 "," 17,483 "," 73,366 "," 67,371 "," 5,882 "," 133,130 "," 96,441 "," 36,829 "," 63,087 "," 5,763 "," 57,373 "," 62,196 "," 231,678 "," 64,218 "," 93,377 "," 76,257 "," 32,227 "," 67,715 "," 17,981 "," 38,581 "," 11,276 "," 21,323 "," 181,214 "," 134,779 "," 25,780 "," 25,368 "," 64,356 "," 19,592 "," 24,740 "," 1,477,909 "," 38,806 "," 152,850 "," 1,369,999 ",,,,,,
2010,Q2," 1,461,114 "," 395,492 "," 343,836 "," 76,060 "," 40,535 "," 39,884 "," 30,889 "," 14,739 "," 29,503 "," 86,904 "," 10,845 "," 13,356 "," 51,662 "," 58,014 "," 40,401 "," 17,745 "," 76,874 "," 71,376 "," 5,519 "," 136,569 "," 97,973 "," 38,448 "," 64,377 "," 6,570 "," 57,889 "," 63,524 "," 233,282 "," 70,717 "," 87,233 "," 74,716 "," 32,653 "," 68,270 "," 18,026 "," 38,701 "," 11,558 "," 22,096 "," 166,447 "," 141,317 "," 26,885 "," 27,500 "," 66,944 "," 19,841 "," 25,069 "," 1,486,162 "," 39,343 "," 110,866 "," 1,402,689 ",,,,,,
